Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1812.425386
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,62.0155122
Djibouti,DJI,"Population, total",SP.POP.TOTL,2014,YR2014,876174
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7301.235865
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
Dominica,DMA,"Population, total",SP.POP.TOTL,2014,YR2014,72341
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,6268.632483
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,73.50002439
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,2014,YR2014,10405943
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,6432.295813
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.8724878
Ecuador,ECU,"Population, total",SP.POP.TOTL,2014,YR2014,15902916
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3365.707421
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,71.12170732
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,2014,YR2014,89579670
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4102.063852
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,72.75456098
El Salvador,SLV,"Population, total",SP.POP.TOTL,2014,YR2014,6107706
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,26144.9405
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,57.64704878
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,2014,YR2014,820885
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
